line_number,parse_status,parse_error,error_message,timestamp,source_ip,http_method,original_url,uri,query_string,status_code,response_size,user_agent,referrer,server_type,risk_score,risk_level,final_label,attack_type,matched_rule_ids,raw_log
21,success,False,,2019-01-25T17:55:56+03:30,5.234.230.137,GET,/image/62303/productModel/200x200,/image/62303/productModel/200x200,,200,6515,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; SonyST21i2 Build/11.0.A.6.5) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",https://www.zanbil.ir/m/browse/tv/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86,apache,,,,,,"5.234.230.137 - - [25/Jan/2019:17:55:56 +0330] ""GET /image/62303/productModel/200x200 HTTP/1.1"" 200 6515 ""https://www.zanbil.ir/m/browse/tv/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86"" ""Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; SonyST21i2 Build/11.0.A.6.5) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"" ""-"""
22,success,False,,2019-01-24T21:12:24+03:30,66.249.66.91,GET,/static/images/guarantees/bestPrice.png,/static/images/guarantees/bestPrice.png,,304,0,Googlebot-Image/1.0,,apache,,,,,,"66.249.66.91 - - [24/Jan/2019:21:12:24 +0330] ""GET /static/images/guarantees/bestPrice.png HTTP/1.1"" 304 0 ""-"" ""Googlebot-Image/1.0"" ""-"""
23,success,False,,2019-01-26T14:59:50+03:30,23.101.169.3,GET,/image/44/productTypeMenu,/image/44/productTypeMenu,,200,11,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0;  Trident/5.0),https://www.zanbil.ir/browse/tablet/%D8%AA%D8%A8%D9%84%D8%AA,apache,,,,,,"23.101.169.3 - - [26/Jan/2019:14:59:50 +0330] ""GET /image/44/productTypeMenu HTTP/1.1"" 200 11 ""https://www.zanbil.ir/browse/tablet/%D8%AA%D8%A8%D9%84%D8%AA"" ""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0;  Trident/5.0)"" ""-"""
24,success,False,,2019-01-23T23:18:35+03:30,173.244.217.170,GET,/image/10/productTypeType,/image/10/productTypeType,,200,11404,"Mozilla/5.0 (Linux; U; Android 4.2.2; fa-ir; H30-U10 Build/HuaweiH30-U10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",https://www.zanbil.ir/m/filter/b8%2Cb867%2Cp1,apache,,,,,,"173.244.217.170 - - [23/Jan/2019:23:18:35 +0330] ""GET /image/10/productTypeType HTTP/1.1"" 200 11404 ""https://www.zanbil.ir/m/filter/b8%2Cb867%2Cp1"" ""Mozilla/5.0 (Linux; U; Android 4.2.2; fa-ir; H30-U10 Build/HuaweiH30-U10) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"" ""-"""
25,success,False,,2019-01-25T00:30:00+03:30,66.249.66.67,GET,/static/css/font/wyekan/font.woff,/static/css/font/wyekan/font.woff,,304,0,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",,apache,,,,,,"66.249.66.67 - - [25/Jan/2019:00:30:00 +0330] ""GET /static/css/font/wyekan/font.woff HTTP/1.1"" 304 0 ""-"" ""Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"""
26,success,False,,2019-01-26T09:32:15+03:30,31.58.56.86,GET,/static/images/guarantees/bestPrice.png,/static/images/guarantees/bestPrice.png,,200,7356,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0,https://www.zanbil.ir/browse/washing-machine/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C,apache,,,,,,"31.58.56.86 - - [26/Jan/2019:09:32:15 +0330] ""GET /static/images/guarantees/bestPrice.png HTTP/1.1"" 200 7356 ""https://www.zanbil.ir/browse/washing-machine/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C"" ""Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0"" ""-"""
27,success,False,,2019-01-24T07:18:34+03:30,66.249.66.91,GET,/filter/b481%2Cb67%2Cb226%2Cb570%2Cb598%2Cstexists%2Cb270%2Cb903%2Cb883%2Cb99%2Cb152%2Cb249%2Cb20%2Cb701%2Cb879%2Cb198%2Cb35%2Cb548%2Cb88%2Cb1%2Cb523%2Cb900%2Cb192%2Cb703%2Cb236%2Cb74%2Cb400%2Cb19%2Cb651%2Cb202%2Cb647%2Cb4%2Cb22%2Cb613%2Cb36%2Cb217%2Cb216%2Cb441%2Cb63%2Cb147%2Cb95%2Cb882%2Cb542%2Cb218%2Cb221%2Cb186%2Cb43%2Cb610%2Cb203%2Cb5%2Cb231%2Cb215%2Cb220%2Cb656%2Cb614%2Cb874%2Cb573%2Cb42%2Cb878%2Cb890%2Cb135%2Cb2%2Cb258%2Cb308%2Cb148?page=0,/filter/b481%2Cb67%2Cb226%2Cb570%2Cb598%2Cstexists%2Cb270%2Cb903%2Cb883%2Cb99%2Cb152%2Cb249%2Cb20%2Cb701%2Cb879%2Cb198%2Cb35%2Cb548%2Cb88%2Cb1%2Cb523%2Cb900%2Cb192%2Cb703%2Cb236%2Cb74%2Cb400%2Cb19%2Cb651%2Cb202%2Cb647%2Cb4%2Cb22%2Cb613%2Cb36%2Cb217%2Cb216%2Cb441%2Cb63%2Cb147%2Cb95%2Cb882%2Cb542%2Cb218%2Cb221%2Cb186%2Cb43%2Cb610%2Cb203%2Cb5%2Cb231%2Cb215%2Cb220%2Cb656%2Cb614%2Cb874%2Cb573%2Cb42%2Cb878%2Cb890%2Cb135%2Cb2%2Cb258%2Cb308%2Cb148,page=0,200,40787,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,apache,,,,,,"66.249.66.91 - - [24/Jan/2019:07:18:34 +0330] ""GET /filter/b481%2Cb67%2Cb226%2Cb570%2Cb598%2Cstexists%2Cb270%2Cb903%2Cb883%2Cb99%2Cb152%2Cb249%2Cb20%2Cb701%2Cb879%2Cb198%2Cb35%2Cb548%2Cb88%2Cb1%2Cb523%2Cb900%2Cb192%2Cb703%2Cb236%2Cb74%2Cb400%2Cb19%2Cb651%2Cb202%2Cb647%2Cb4%2Cb22%2Cb613%2Cb36%2Cb217%2Cb216%2Cb441%2Cb63%2Cb147%2Cb95%2Cb882%2Cb542%2Cb218%2Cb221%2Cb186%2Cb43%2Cb610%2Cb203%2Cb5%2Cb231%2Cb215%2Cb220%2Cb656%2Cb614%2Cb874%2Cb573%2Cb42%2Cb878%2Cb890%2Cb135%2Cb2%2Cb258%2Cb308%2Cb148?page=0 HTTP/1.1"" 200 40787 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"""
28,success,False,,2019-01-23T17:29:33+03:30,188.211.33.110,GET,/amp-helper-frame.html?appId=a624a1c1-0c93-466a-a546-e146710f97e6&parentOrigin=https://www-zanbil-ir.cdn.ampproject.org,/amp-helper-frame.html,appId=a624a1c1-0c93-466a-a546-e146710f97e6&parentOrigin=https://www-zanbil-ir.cdn.ampproject.org,200,133,"Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36",https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/browse/bronze-clock/%D8%B3%D8%A7%D8%B9%D8%AA-%D8%A8%D8%B1%D9%86%D8%B2?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D,apache,,,,,,"188.211.33.110 - - [23/Jan/2019:17:29:33 +0330] ""GET /amp-helper-frame.html?appId=a624a1c1-0c93-466a-a546-e146710f97e6&parentOrigin=https://www-zanbil-ir.cdn.ampproject.org HTTP/1.1"" 200 133 ""https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/browse/bronze-clock/%D8%B3%D8%A7%D8%B9%D8%AA-%D8%A8%D8%B1%D9%86%D8%B2?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D"" ""Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"" ""-"""
29,success,False,,2019-01-23T09:42:38+03:30,151.235.176.172,GET,/manifest.json,/manifest.json,,200,110,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",https://www.zanbil.ir/browse/cell-phone/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84,apache,,,,,,"151.235.176.172 - - [23/Jan/2019:09:42:38 +0330] ""GET /manifest.json HTTP/1.1"" 200 110 ""https://www.zanbil.ir/browse/cell-phone/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84"" ""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"" ""-"""
30,success,False,,2019-01-22T23:10:36+03:30,5.125.49.25,GET,"/filter?f=p48,t16,stexists&productType=iron",/filter,"f=p48,t16,stexists&productType=iron",200,33628,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",https://www.zanbil.ir/browse/vacuum-cleaner/%D8%AC%D8%A7%D8%B1%D9%88%D8%A8%D8%B1%D9%82%DB%8C,apache,,,,,,"5.125.49.25 - - [22/Jan/2019:23:10:36 +0330] ""GET /filter?f=p48,t16,stexists&productType=iron HTTP/1.1"" 200 33628 ""https://www.zanbil.ir/browse/vacuum-cleaner/%D8%AC%D8%A7%D8%B1%D9%88%D8%A8%D8%B1%D9%82%DB%8C"" ""Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"" ""-"""
31,success,False,,2019-01-26T21:10:15+03:30,192.168.1.105,GET,/product/32793/63253/item?id=1%27%20OR%20%271%27%3D%271,/product/32793/63253/item,id=1%27%20OR%20%271%27%3D%271,500,4512,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",,apache,,,,,,"192.168.1.105 - - [26/Jan/2019:21:10:15 +0330] ""GET /product/32793/63253/item?id=1%27%20OR%20%271%27%3D%271 HTTP/1.1"" 500 4512 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"" ""-"""
32,success,False,,2019-01-26T21:15:30+03:30,203.0.113.42,GET,/search?q=%3Cscript%3Ealert(document.cookie)%3C%2Fscript%3E,/search,q=%3Cscript%3Ealert(document.cookie)%3C%2Fscript%3E,200,12050,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,https://www.zanbil.ir/,apache,,,,,,"203.0.113.42 - - [26/Jan/2019:21:15:30 +0330] ""GET /search?q=%3Cscript%3Ealert(document.cookie)%3C%2Fscript%3E HTTP/1.1"" 200 12050 ""https://www.zanbil.ir/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0"" ""-"""
33,success,False,,2019-01-26T21:20:45+03:30,45.33.22.11,GET,/image/33719?name=..%2F..%2F..%2F..%2Fetc%2Fpasswd&wh=max,/image/33719,name=..%2F..%2F..%2F..%2Fetc%2Fpasswd&wh=max,200,3450,curl/7.58.0,,apache,,,,,,"45.33.22.11 - - [26/Jan/2019:21:20:45 +0330] ""GET /image/33719?name=..%2F..%2F..%2F..%2Fetc%2Fpasswd&wh=max HTTP/1.1"" 200 3450 ""-"" ""curl/7.58.0"" ""-"""
